rank,player,points
161,144972,373
162,200240,371
163,110602,362
164,109686,361
165,200335,358
166,106162,356
167,208233,354
168,209098,353
169,125847,353
170,106293,352
171,144645,349
172,205734,349
173,207352,349
174,106000,347
175,123809,347
176,209857,346
177,123828,339
178,200647,332
179,209260,331
180,200587,330
181,105449,328
182,126555,328
183,126504,326
184,111805,325
185,208071,324
186,200318,323
187,134457,323
188,105814,323
189,106167,322
190,106310,320
191,126106,317
192,105911,316
193,209070,315
194,117360,314
195,207411,314
196,207660,313
197,106044,312
198,106362,309
199,208004,304
200,209992,303
201,208353,298
202,105938,298
203,111794,295
204,209263,291
205,200677,291
206,206904,291
207,208278,291
208,106220,286
209,134472,286
210,209920,285
211,104468,283
212,123795,279
213,105967,278
214,202090,276
215,202358,275
216,105575,273
217,105932,271
218,200572,268
219,208363,267
220,105561,264
221,106034,264
222,208260,261
223,126663,260
224,105477,259
225,106393,259
226,144826,259
227,144821,257
228,207494,253
229,117356,253
230,106058,248
231,105943,248
232,208013,248
233,208659,245
234,200711,245
235,105539,244
236,105643,243
237,210150,241
238,207182,238
239,105357,237
240,208010,236
241,200096,236
242,209406,235
243,144973,234
244,105815,232
245,126149,232
246,111454,229
247,207799,228
248,105841,228
249,209279,227
250,126107,226
251,208882,220
252,106057,218
253,202122,218
254,200385,218
255,106283,210
256,111576,209
257,200008,209
258,105311,208
259,105952,207
260,210506,204
261,106292,203
262,122533,201
263,207546,201
264,106099,200
265,207415,199
266,206307,198
267,208279,197
268,109054,196
269,105731,196
270,200390,194
271,210317,192
272,117357,192
273,207681,191
274,209405,190
275,105819,189
276,208169,189
277,133975,189
278,200216,189
279,145001,187
280,105181,187
281,200610,187
282,105882,187
283,200218,186
284,123983,186
285,110618,186
286,126964,186
287,208069,185
288,200443,184
289,200309,183
290,208913,183
291,105062,176
292,144918,176
293,105359,174
294,121411,174
295,209976,172
296,208316,172
297,123961,172
298,126533,170
299,202262,170
300,200374,168
301,109734,168
302,104269,167
303,110748,167
304,207663,167
305,106187,166
306,144750,165
307,126120,165
308,105671,163
309,126283,163
310,106177,163
311,200247,162
312,208158,161
313,138821,160
314,106072,160
315,144923,160
316,209874,159
317,105836,159
318,210136,158
319,126340,157
320,105180,157
321,123819,156
322,104665,155
323,200516,154
324,209262,154
325,200259,153
326,202320,153
327,202260,153
328,208230,151
329,131905,151
330,105376,150
331,206889,150
332,200495,150
333,123993,150
334,126535,149
335,209506,147
336,200484,147
337,123921,145
338,200473,145
339,209903,144
340,126125,143
341,200255,143
342,104586,142
343,126156,142
344,104898,141
345,122548,141
346,202398,141
347,202127,140
348,105655,139
349,105649,138
350,105595,138
351,132052,137
352,202400,137
353,126129,137
354,105011,136
355,105657,136
356,131999,134
357,206703,131
358,131951,131
359,111578,130
360,106288,130
361,105638,129
362,207231,129
363,202277,128
364,200632,128
365,105208,127
366,200418,127
367,105155,126
368,200550,126
369,106290,126
370,200266,125
371,200188,125
372,208021,124
373,207704,124
374,106109,123
375,202183,123
376,207129,123
377,117361,123
378,111436,123
379,124154,122
380,200329,119
381,200265,119
382,126573,119
383,207213,119
384,209191,118
385,126177,118
386,104792,117
387,208189,117
388,202420,117
389,132054,116
390,209385,116
391,106071,115
392,209849,115
393,132831,115
394,208300,115
395,123847,115
396,105732,114
397,209131,114
398,200366,113
399,102093,113
400,105589,112
401,104932,112
402,202106,112
403,200277,112
404,207669,112
405,126190,111
406,208843,111
407,106291,111
408,106172,111
409,208343,110
410,200416,110
411,209355,110
412,109303,108
413,122078,108
414,206470,108
415,209928,108
416,111761,108
417,131911,107
418,126206,107
419,209850,107
420,208293,106
421,105550,105
422,209259,105
423,207490,104
424,208819,104
425,202235,104
426,106352,104
427,126939,103
428,202199,102
429,208055,102
430,207181,101
431,200184,101
432,208182,101
433,105379,100
434,206912,99
435,124040,99
436,206467,99
437,208361,98
438,200611,98
439,105023,97
440,106348,97
441,126197,97
442,110751,97
443,209916,96
444,111788,96
445,106378,95
446,124014,95
447,106174,95
448,207491,95
449,208322,94
450,144748,94
451,127326,93
452,106210,92
453,105432,92
454,105063,92
455,106368,92
456,209254,92
457,144751,91
458,122536,90
459,106216,89
460,207785,89
461,132744,89
462,104907,89
463,106380,89
464,200030,88
465,106249,87
466,209863,87
467,105700,86
468,106410,86
469,207186,85
470,121531,85
471,105633,85
472,105933,84
473,144985,84
474,209164,84
475,208144,84
476,200220,84
477,200643,83
478,210042,82
479,200031,81
480,126536,81
481,144672,81
482,127123,80
483,122495,80
484,121264,78
485,206553,78
486,126612,78
487,126652,77
488,134329,77
489,208046,77
490,206589,76
491,200014,76
492,132041,76
493,208285,76
494,200346,76
495,202299,75
496,200331,75
497,208854,75
498,207605,75
499,209997,75
500,209875,75
501,202075,74
502,210120,74
503,105868,74
504,207729,72
505,200589,72
506,200748,72
507,106137,72
508,210017,72
509,200075,72
510,200273,72
511,122554,72
512,210319,71
513,133820,71
514,210340,70
515,206923,70
516,209943,70
517,126237,69
518,207736,69
519,210262,69
520,144970,69
521,209142,69
522,200307,69
523,106227,68
524,202247,68
525,208540,67
526,202126,67
527,210012,67
528,209871,67
529,111569,67
530,144716,67
531,209326,66
532,105147,66
533,207657,66
534,209147,66
535,207784,66
536,209182,66
537,104871,65
538,104312,65
539,106110,65
540,125825,65
541,202354,65
542,123896,64
543,105810,64
544,129911,64
545,205842,64
546,210389,63
547,207130,62
548,106040,62
549,200013,62
550,126193,62
551,104655,61
552,126208,61
553,123812,61
554,202356,61
555,206867,61
556,105723,60
557,207992,60
558,106206,60
559,210200,60
560,207412,60
561,111806,60
562,105406,59
563,144870,59
564,208049,59
565,133997,59
566,200713,59
567,206662,59
568,105992,58
569,200672,58
570,207502,58
571,200661,58
572,134794,58
573,133872,58
574,132209,58
575,209518,58
576,200270,58
577,208024,58
578,208902,57
579,207993,57
580,106232,57
581,207484,57
582,208126,56
583,210377,56
584,200024,56
585,106223,56
586,200437,56
587,208852,56
588,124187,55
589,211346,55
590,103852,55
591,132842,55
592,123818,55
593,109699,54
594,208269,54
595,209983,53
596,210052,53
597,105060,53
598,134384,53
599,207793,52
600,207732,52
601,105514,52
602,144823,52
603,207957,52
604,206448,52
605,208485,51
606,126878,51
607,210098,51
608,208078,51
609,208389,50
610,209322,50
611,202333,50
612,209203,50
613,132999,50
614,104505,49
615,209302,49
616,202209,49
617,105806,49
618,200207,49
619,207764,49
620,208119,48
621,105385,48
622,104291,48
623,123855,48
624,209931,48
625,202227,47
626,124001,47
627,208937,46
628,210320,46
629,209278,46
630,200070,46
631,202234,45
632,144656,45
633,209952,45
634,138485,45
635,208518,45
636,134405,45
637,209904,45
638,210044,45
639,207884,45
640,144932,45
641,202275,45
642,105668,44
643,111515,44
644,209911,44
645,202147,44
646,202169,44
647,206600,44
648,209060,43
649,207797,43
650,209907,43
651,209910,43
652,122352,43
653,208421,43
654,207760,42
655,117353,42
656,134389,42
657,208104,42
658,207969,41
659,210105,41
660,106322,41
661,126442,41
662,210107,41
663,208003,41
664,210039,41
665,144681,41
666,106228,40
667,106078,40
668,105341,40
669,211663,40
670,106298,40
671,208143,40
672,133291,40
673,209860,40
674,207239,40
675,207987,40
676,105507,39
677,210399,39
678,200538,39
679,133857,39
680,208304,39
681,209251,39
682,200595,39
683,126337,38
684,202154,38
685,209890,38
686,206746,38
687,106168,37
688,209124,37
689,209937,37
690,208364,37
691,210034,36
692,133018,36
693,211451,36
694,133045,36
695,208597,36
696,209284,36
697,105871,36
698,209899,36
699,202150,36
700,125842,36
701,126723,36
702,209167,35
703,126762,35
704,208147,35
705,208861,35
706,208168,35
707,110774,34
708,210142,34
709,200242,34
710,209226,34
711,207527,34
712,126715,34
713,200462,34
714,210220,33
715,210297,33
716,207134,33
717,207139,33
718,209318,33
719,202239,33
720,200253,33
721,206750,33
722,144924,32
723,210558,32
724,208257,32
725,211577,32
726,210053,32
727,207601,32
728,200671,32
729,202324,32
730,208334,32
731,202378,32
732,200279,32
733,104797,31
734,126627,31
735,207200,31
736,208166,31
737,200176,31
738,133794,31
739,208223,31
740,202281,31
741,207815,30
742,208210,30
743,104729,30
744,207834,30
745,111508,30
746,106154,30
747,211594,30
748,105899,30
749,208605,30
750,200263,30
751,200142,30
752,133945,30
753,202366,29
754,208457,29
755,210115,29
756,210254,29
757,131867,29
758,200639,29
759,200276,29
760,210167,29
761,104629,28
762,209043,28
763,109318,28
764,125804,28
765,117359,28
766,126209,28
767,210425,28
768,200007,28
769,210285,28
770,200445,28
771,209985,28
772,209851,27
773,207228,27
774,202148,27
775,104897,27
776,111192,27
777,133014,27
778,144841,27
779,208586,27
780,202089,27
781,106254,27
782,210175,27
783,207547,27
784,105614,26
785,126185,26
786,200095,26
787,200278,26
788,202359,26
789,208909,26
790,202124,26
791,209334,25
792,106026,25
793,210203,25
794,210178,25
795,208099,25
796,208057,25
797,200574,25
798,122351,25
799,208533,25
800,209865,25
801,200197,25
802,200108,24
803,209399,24
804,105985,24
805,208876,24
806,132134,24
807,202271,24
808,133880,24
809,144915,24
810,202052,24
811,209957,23
812,208025,23
813,109640,23
814,208262,23
815,210505,23
816,106164,23
817,122571,23
818,111197,23
819,109694,23
820,210000,23
821,134087,23
822,209898,23
823,123851,23
824,122638,22
825,104810,22
826,106390,22
827,126102,22
828,104905,22
829,209080,22
830,207649,22
831,106175,22
832,209918,22
833,212063,21
834,105156,21
835,210530,21
836,202155,21
837,210348,21
838,202318,21
839,200214,21
840,207277,21
841,207603,21
842,126151,21
843,209407,20
844,123843,20
845,206590,20
846,120922,20
847,211608,20
848,207220,20
849,106064,20
850,210468,20
851,210223,20
852,137230,20
853,210553,20
854,208342,19
855,212021,19
856,132837,19
857,208240,19
858,200310,19
859,126328,19
860,124074,19
861,106353,19
862,200289,19
863,210398,19
864,210121,19
865,207728,19
866,134276,19
867,122294,19
868,209510,18
869,126623,18
870,202113,18
871,200666,18
872,208444,18
873,126630,18
874,208265,18
875,200297,18
876,211628,17
877,106328,17
878,135753,17
879,211407,17
880,210202,17
881,210077,17
882,207998,17
883,144937,17
884,209128,17
885,132584,17
886,134383,17
887,202279,17
888,210141,17
889,208358,17
890,131910,17
891,207708,17
892,105578,16
893,105641,16
894,200219,16
895,106425,16
896,105438,16
897,210696,16
898,207135,16
899,105607,16
900,208204,16
901,211394,16
902,202349,16
903,144744,16
904,202345,16
905,144955,16
906,208151,16
907,206749,16
908,207383,16
909,202440,16
910,202346,16
911,144949,15
912,105216,15
913,207809,15
914,210005,15
915,126183,15
916,126280,15
917,200003,15
918,126272,15
919,211333,15
920,201987,15
921,207439,15
922,208532,15
923,200635,15
924,106397,15
925,209337,15
926,144652,14
927,106203,14
928,208209,14
929,209103,14
930,105064,14
931,210132,14
932,200321,14
933,210338,14
934,207288,14
935,209416,14
936,105944,14
937,210252,14
938,200531,14
939,200441,14
940,106360,14
941,210613,14
942,210230,14
943,207535,14
944,210181,14
945,132374,14
946,111801,14
947,131888,14
948,210093,13
949,144682,13
950,200487,13
951,105747,13
952,207794,13
953,144927,13
954,209068,13
955,124126,13
956,132573,13
957,207391,13
958,209360,13
959,208519,13
960,207557,13
961,209930,13
962,117362,13
963,105051,12
964,200062,12
965,207776,12
966,200457,12
967,117365,12
968,208653,12
969,208467,12
970,209120,12
971,210498,12
972,121497,12
973,209099,12
974,207386,12
975,207606,12
976,144731,12
977,205690,12
978,206091,12
979,208267,12
980,210412,12
981,210295,12
982,134490,12
982,209959,12
984,208147,12
985,208874,12
986,144925,12
987,206556,12
988,208866,12
989,207249,12
990,207803,12
991,210274,11
992,200452,11
993,210370,11
994,106354,11
995,207682,11
996,210536,11
997,126441,11
998,122474,11
999,209158,11
1000,200565,11
1001,209140,11
1002,105560,11
1003,208277,11
1004,206225,11
1004,207171,11
1006,134833,11
1007,201995,11
1008,132017,11
1009,111568,11
1010,105226,10
1011,104873,10
1012,202181,10
1013,106184,10
1014,105874,10
1015,144946,10
1016,105563,10
1016,210719,10
1018,110647,10
1019,200665,10
1020,209079,10
1020,105585,10
1022,209095,10
1023,207256,10
1024,210675,10
1025,208305,10
1026,209233,10
1027,210519,10
1028,210294,10
1029,105026,10
1030,211522,10
1031,200541,10
1031,127187,10
1033,202168,10
1033,125816,10
1035,209171,10
1036,210745,10
1037,209951,10
1038,210155,10
1039,208294,10
1040,144745,10
1040,207616,10
1042,144814,10
1043,210212,10
1044,207772,10
1044,200466,10
1046,126488,10
1047,209338,10
1048,209986,10
1049,210124,10
1050,210393,10
1051,210382,10
1052,208186,10
1053,210055,10
1054,144907,10
1055,105529,9
1056,111512,9
1057,111511,9
1058,210730,9
1059,210318,9
1060,210522,9
1061,210215,9
1061,126335,9
1063,210434,9
1063,210693,9
1065,209281,9
1066,211585,9
1067,200205,9
1068,202130,9
1069,211636,9
1070,144665,9
1071,208214,9
1071,200455,9
1073,206764,9
1074,202192,9
1075,200039,9
1076,207183,9
1077,211324,9
1078,202220,9
1079,209258,9
1079,210535,9
1081,209936,9
1081,208201,9
1083,207661,9
1084,210291,9
1085,105479,9
1086,202125,9
1087,208152,9
1088,208015,9
1089,200250,8
1089,211767,8
1091,210690,8
1091,106250,8
1091,126720,8
1094,126590,8
1095,208603,8
1096,106391,8
1097,202418,8
1098,210473,8
1099,105508,8
1100,124013,8
1101,209402,8
1102,207982,8
1103,201967,8
1104,202231,8
1105,105478,8
1106,211604,8
1107,121604,8
1108,123832,8
1109,210345,8
1110,207595,8
1111,210182,8
1111,200009,8
1113,210163,8
1114,207431,8
1115,211638,8
1116,127158,8
1116,210058,8
1118,132124,8
1118,138605,8
1120,210513,8
1121,205941,8
1122,144730,8
1123,209867,8
1124,209247,8
1125,211500,8
1126,208411,8
1127,208063,8
1128,207796,8
1129,200315,8
1130,110778,7
1131,104735,7
1132,131866,7
1133,126152,7
1134,126219,7
1135,210691,7
1136,106324,7
1137,200050,7
1138,211543,7
1139,201938,7
1140,210668,7
1141,206782,7
1142,210329,7
1143,126472,7
1144,209067,7
1145,210129,7
1146,104986,7
1147,126464,7
1147,126711,7
1149,209889,7
1149,209241,7
1149,209038,7
1152,110773,7
1153,202079,7
1154,200692,7
1154,207340,7
1154,200598,7
1157,205887,7
1158,209887,7
1159,210211,7
1160,210315,7
1161,207219,7
1162,210250,7
1163,209325,6
1164,210714,6
1164,210731,6
1166,200228,6
1167,211551,6
1168,212077,6
1169,204970,6
1170,132609,6
1170,209882,6
1172,208136,6
1172,210556,6
1174,202197,6
1174,210664,6
1176,104963,6
1177,210308,6
1178,127143,6
1179,144775,6
1180,208179,6
1180,134244,6
1182,210682,6
1182,202287,6
1182,206323,6
1185,210149,6
1186,133863,6
1187,207404,6
1187,210119,6
1187,210580,6
1190,126758,6
1191,211574,6
1191,207419,6
1193,211508,6
1193,208250,6
1195,207788,6
1196,207831,6
1196,207756,6
1198,210492,6
1199,210454,6
1199,125806,6
1201,210416,6
1202,200681,6
1203,209932,6
1204,209947,6
1205,144701,6
1206,128041,6
1206,208668,6
1206,207248,6
1206,105059,6
1210,208401,6
1211,200145,6
1212,202439,6
1213,104947,6
1214,207808,6
1215,106357,5
1216,111163,5
1216,106021,5
1216,144935,5
1219,210464,5
1220,207878,5
1221,210025,5
1222,207236,5
1223,111795,5
1223,144747,5
1225,208041,5
1225,207487,5
1227,208693,5
1228,209866,5
1228,208052,5
1230,210028,5
1231,209512,5
1232,106406,5
1233,210711,5
1234,210686,5
1234,132137,5
1236,211627,5
1236,209852,5
1238,211388,5
1238,210608,5
1240,210381,5
1241,209949,5
1241,209948,5
1243,207368,5
1243,210652,5
1245,210292,5
1246,210289,5
1246,106160,5
1246,202128,5
1249,210236,5
1249,122520,5
1249,210342,5
1249,144919,5
1253,202449,5
1253,210157,5
1253,207781,5
1253,208132,5
1257,211596,5
1258,120545,5
1259,210408,5
1260,210265,5
1261,208315,5
1262,208249,5
1262,210145,5
1264,208840,5
1264,207463,5
1266,200474,5
1267,126461,5
1268,144662,5
1269,208418,5
1270,208276,5
1271,206735,5
1272,210054,5
1272,209940,5
1274,209984,5
1275,207505,5
1276,209403,5
1277,105502,4
1277,212057,4
1277,207901,4
1277,105960,4
1277,105894,4
1277,209914,4
1283,111574,4
1283,202475,4
1285,200389,4
1286,121817,4
1286,207230,4
1288,121816,4
1288,212082,4
1288,202342,4
1288,210259,4
1292,212024,4
1292,104999,4
1294,123854,4
1294,209974,4
1296,207646,4
1296,209517,4
1296,209204,4
1296,208296,4
1300,209315,4
1301,206425,4
1302,105041,4
1303,126108,4
1303,206873,4
1303,208130,4
1303,108749,4
1303,211501,4
1303,105471,4
1309,202069,4
1309,133224,4
1309,208253,4
1312,208039,4
1313,211576,4
1313,207343,4
1313,106301,4
1316,207996,4
1316,109334,4
1316,123858,4
1316,207327,4
1316,208006,4
1316,211386,4
1316,105452,4
1323,132361,4
1323,202421,4
1325,211581,4
1325,109207,4
1327,210397,4
1328,210009,4
1329,105598,4
1329,210047,4
1329,208051,4
1332,207757,4
1332,105797,4
1332,210642,4
1335,208873,4
1335,208229,4
1335,200442,4
1338,210309,4
1338,200323,4
1338,209185,4
1338,208858,4
1342,210334,4
1343,208350,4
1343,210599,4
1343,200559,4
1343,208328,4
1347,200622,4
1347,210533,4
1347,127087,4
1350,202146,4
1351,122081,4
1351,208835,4
1351,210159,4
1354,134545,4
1354,200330,4
1354,206716,4
1354,209879,4
1354,210248,4
1359,208185,4
1360,208466,4
1360,111181,4
1362,210064,4
1362,210604,4
1364,209973,4
1364,132606,4
1366,126581,4
1367,106105,3
1367,122394,3
1369,210726,3
1369,210116,3
1371,210545,3
1372,207370,3
1372,208479,3
1374,211530,3
1374,200485,3
1374,211467,3
1377,208563,3
1377,202096,3
1379,208264,3
1379,126216,3
1381,210754,3
1381,211774,3
1381,104615,3
1384,206916,3
1384,208243,3
1384,202361,3
1384,134085,3
1384,210316,3
1389,210567,3
1389,208871,3
1391,211650,3
1391,210486,3
1391,126199,3
1391,208608,3
1391,202369,3
1391,211647,3
1397,211396,3
1397,132351,3
1397,210521,3
1397,211410,3
1397,212047,3
1397,210640,3
1403,210283,3
1404,208383,3
1404,105787,3
1404,209516,3
1404,132895,3
1404,210004,3
1404,210732,3
1404,212044,3
1411,209267,3
1411,210526,3
1411,210504,3
1411,208806,3
1411,206573,3
1411,210424,3
1411,209989,3
1418,200378,3
1418,209314,3
1418,106106,3
1418,206579,3
1418,210507,3
1418,210666,3
1424,209979,3
1424,208153,3
1424,209116,3
1424,210447,3
1424,209118,3
1424,138846,3
1430,202348,3
1430,200006,3
1430,210577,3
1433,209280,3
1433,109908,3
1433,133667,3
1433,206673,3
1433,210737,3
1433,210721,3
1433,200386,3
1433,207178,3
1441,208757,3
1442,207731,3
1442,210195,3
1444,210744,3
1444,209401,3
1444,111772,3
1447,208188,3
1447,210531,3
1449,208726,3
1449,209509,3
1449,125833,3
1452,210016,3
1452,202152,3
1454,207844,3
1455,132123,3
1456,210174,3
1457,206797,3
1458,206385,3
1459,211474,3
1460,209971,3
1460,127115,3
1462,200036,3
1463,126429,3
1464,209977,3
1465,206758,2
1465,211739,2
1465,105559,2
1465,200415,2
1465,106412,2
1465,205825,2
1465,211897,2
1465,206003,2
1465,207739,2
1465,145014,2
1465,212104,2
1465,122635,2
1465,105801,2
1465,105163,2
1465,105849,2
1465,202447,2
1465,211758,2
1465,126135,2
1483,210758,2
1483,210667,2
1483,211402,2
1483,111459,2
1483,210146,2
1483,207233,2
1483,104467,2
1483,200606,2
1483,211708,2
1483,208463,2
1483,211735,2
1483,209395,2
1495,208424,2
1495,122109,2
1495,208360,2
1495,207674,2
1495,200702,2
1495,211587,2
1495,208092,2
1495,210008,2
1495,207232,2
1495,208138,2
1495,211790,2
1495,202190,2
1495,208318,2
1495,209917,2
1495,210687,2
1495,208301,2
1511,206805,2
1511,210218,2
1511,200125,2
1511,126609,2
1511,211711,2
1516,210257,2
1516,208844,2
1516,211457,2
1516,211399,2
1516,200419,2
1516,211387,2
1516,106129,2
1516,210591,2
1516,211486,2
1516,144871,2
1516,208897,2
1516,210050,2
1516,206856,2
1516,209208,2
1516,209905,2
1516,211763,2
1516,210494,2
1516,211601,2
1516,208160,2
1535,202300,2
1535,211366,2
1535,206147,2
1538,210650,2
1538,209967,2
1538,200291,2
1538,210140,2
1538,210242,2
1538,209962,2
1538,208821,2
1538,211363,2
1538,207918,2
1538,103175,2
1538,210002,2
1538,145011,2
1538,208254,2
1538,200703,2
1538,202427,2
1538,134430,2
1538,200086,2
1538,211902,2
1538,210032,2
1538,207826,2
1558,105419,2
1558,122632,2
1558,210099,2
1558,105413,2
1558,134057,2
1558,210210,2
1564,210525,2
1564,132310,2
1564,209412,2
1564,133844,2
1564,209058,2
1564,210592,2
1564,210665,2
1564,210260,2
1564,209316,2
1564,211676,2
1564,123920,2
1564,207209,2
1564,211669,2
1564,210575,2
1564,206356,2
1564,210051,2
1564,206818,2
1564,210170,2
1564,206576,2
1564,207190,2
1564,209515,2
1564,211505,2
1564,207664,2
1564,106396,2
1588,211345,2
1588,208028,2
1588,210659,2
1591,209945,2
1591,207229,2
1591,202374,2
1591,208729,2
1591,209921,2
1591,210705,2
1591,211504,2
1591,211389,2
1591,123969,2
1591,130493,2
1591,210160,2
1591,210190,2
1591,208255,2
1604,207173,2
1604,210565,2
1606,209104,2
1606,209398,2
1606,202307,2
1606,131912,2
1606,209035,2
1606,210102,2
1606,211337,2
1606,207738,2
1606,208660,2
1606,105934,2
1606,200080,2
1606,208890,2
1618,210727,2
1618,209130,2
1618,207676,2
1618,207580,2
1622,208206,2
1622,138596,2
1622,211497,2
1622,210470,2
1622,210672,2
1622,202413,2
1622,209354,2
1629,208892,2
1629,210101,2
1629,109732,2
1629,210400,2
1629,106132,2
1629,208511,2
1635,202323,2
1635,208753,2
1637,207461,2
1638,200616,2
1638,207378,2
1638,209216,2
1641,133082,2
1642,210684,2
1643,206489,2
1644,212051,1
1644,202311,1
1644,211746,1
1644,205869,1
1644,211668,1
1644,212068,1
1644,209372,1
1644,210756,1
1644,212105,1
1644,144844,1
1644,210444,1
1644,212116,1
1644,207363,1
1644,212129,1
1644,210724,1
1644,138688,1
1644,212142,1
1644,200608,1
1644,210695,1
1644,206329,1
1644,211736,1
1644,111452,1
1644,206893,1
1644,127397,1
1644,210478,1
1644,211634,1
1644,208124,1
1644,208554,1
1644,200061,1
1644,211656,1
1644,211315,1
1644,212136,1
1644,208082,1
1644,211401,1
1644,211605,1
1644,206921,1
1644,210742,1
1644,111580,1
1644,207688,1
1644,211787,1
1644,209071,1
1644,211330,1
1644,209336,1
1644,210722,1
1644,202081,1
1644,210550,1
1644,208714,1
1644,209156,1
1644,208297,1
1644,208914,1
1644,126739,1
1644,212155,1
1644,212033,1
1644,207673,1
1644,211545,1
1644,211371,1
1644,211344,1
1644,207828,1
1644,210310,1
1644,133738,1
1644,210243,1
1644,210741,1
1644,210156,1
1644,208428,1
1644,144807,1
1644,209065,1
1644,212134,1
1644,208283,1
1644,202204,1
1644,207851,1
1644,208219,1
1644,209306,1
1644,211566,1
1644,105079,1
1644,212128,1
1644,212130,1
1644,211700,1
1644,121971,1
1644,210278,1
1644,208040,1
1644,206402,1
1644,207724,1
1726,210584,1
1726,211537,1
1726,211560,1
1726,202114,1
1726,124045,1
1726,209968,1
1726,211558,1
1726,208142,1
1726,200336,1
1726,210078,1
1726,126131,1
1726,212090,1
1726,209064,1
1726,144833,1
1726,211499,1
1726,206027,1
1726,207893,1
1726,211568,1
1726,211317,1
1726,211751,1
1726,210729,1
1726,212072,1
1726,207994,1
1726,211904,1
1726,105545,1
1726,212046,1
1726,200164,1
1726,212069,1
1726,210151,1
1726,210143,1
1726,134116,1
1726,209163,1
1726,200708,1
1726,209956,1
1726,212055,1
1726,210728,1
1726,210685,1
1726,109737,1
1726,207456,1
1726,211756,1
1726,211331,1
1726,206657,1
1726,210238,1
1726,208406,1
1726,212043,1
1726,206669,1
1726,208295,1
1726,211498,1
1726,126186,1
1726,210306,1
1726,208818,1
1726,211463,1
1726,209854,1
1726,209893,1
1726,133907,1
1726,210547,1
1726,211509,1
1726,200136,1
1726,211496,1
1726,208829,1
1726,211355,1
1726,128140,1
1726,206634,1
1726,211677,1
1726,210287,1
1726,211462,1
1726,211694,1
1726,126737,1
1726,208125,1
1726,211733,1
1726,210376,1
1726,105621,1
1726,207974,1
1726,202290,1
1726,134194,1
1726,210701,1
1726,122526,1
1726,208142,1
1726,111584,1
1726,209330,1
1726,211572,1
1726,211465,1
1726,126432,1
1726,208446,1
1726,212103,1
1811,208073,1
1811,202269,1
1811,211450,1
1811,212089,1
1811,210748,1
1811,211341,1
1811,207506,1
1811,210001,1
1811,211409,1
1811,211730,1
1811,211657,1
1811,210562,1
1811,208559,1
1811,209176,1
1811,202153,1
1811,208557,1
1811,211667,1
1811,210041,1
1811,210474,1
1811,205883,1
1811,210441,1
1811,210598,1
1811,132495,1
1811,132712,1
1811,208417,1
1811,126629,1
1811,211529,1
1811,202364,1
1811,124099,1
1811,210341,1
1811,207457,1
1811,211727,1
1811,209993,1
1811,210747,1
1811,207331,1
1811,211670,1
1811,207632,1
1811,210583,1
1811,200233,1
1811,211621,1
1811,210561,1
1811,211575,1
1811,211335,1
1811,200684,1
1811,212020,1
1811,202305,1
1811,210286,1
1811,105464,1
1811,134423,1
1811,105596,1
1811,206827,1
1811,210586,1
1811,211662,1
1811,210451,1
1811,209972,1
1811,121581,1
1811,208651,1
1811,105812,1
